EbN0_dB,BER
0.0,0.26658333333333334
2.0,0.22743333333333332
4.0,0.18103333333333332
6.0,0.13185
8.0,0.08206666666666666
10.0,0.04145
12.0,0.015766666666666665
14.0,0.00343
16.0,0.000345
18.0,1.1428571428571429e-05
20.0,0.0
24.0,0.0
28.0,0.0
30.0,0.0
